Date,Open,High,Low,Close,Volume,Symbol
2022-05-31,146.907,148.476,144.71,146.682,105244385,AAPL
2022-05-27,143.281,147.509,143.153,147.471,92317035,AAPL
2022-05-26,135.398,142.248,135.151,141.694,91934534,AAPL
2022-05-25,136.423,139.73,136.334,138.482,93843358,AAPL
2022-05-24,138.762,139.913,135.339,138.327,105664811,AAPL
2022-05-23,135.792,141.182,135.654,141.033,119458326,AAPL
2022-05-20,137.073,138.659,130.686,135.595,139448023,AAPL
2022-05-19,137.85,139.606,134.62,135.358,138097963,AAPL
2022-05-18,144.72,145.223,137.87,138.777,111357495,AAPL
2022-05-17,146.702,147.597,144.552,147.075,79488785,AAPL
2022-05-16,143.44,145.38,142.091,143.43,87918538,AAPL
2022-05-13,142.492,145.958,141.033,144.978,115667956,AAPL
2022-05-12,140.702,144.08,136.787,140.493,185288595,AAPL
2022-05-11,151.275,153.197,143.697,144.378,144789166,AAPL
2022-05-10,153.265,154.468,150.713,152.27,117064082,AAPL
2022-05-09,152.679,153.57,149.295,149.855,133513776,AAPL
2022-05-06,153.749,157.129,151.945,155.0,117833144,AAPL
2022-05-05,161.237,161.464,152.476,154.27,132640242,AAPL
2022-05-04,157.129,163.829,156.723,163.376,110010637,AAPL
2022-05-03,155.63,158.143,153.828,156.941,90408095,AAPL
2022-05-02,154.21,155.709,150.832,155.443,125049192,AAPL
2022-04-29,159.257,163.554,154.743,155.138,133882343,AAPL
2022-04-28,156.713,161.887,156.4,161.032,132326761,AAPL
2022-04-27,153.422,157.247,152.901,154.071,89490123,AAPL
2022-04-26,159.66,159.75,154.22,154.299,97172672,AAPL
2022-04-25,158.547,160.567,155.936,160.282,97602664,AAPL
2022-04-22,163.809,165.188,158.921,159.207,86257816,AAPL
2022-04-21,166.215,168.795,163.268,163.77,88641163,AAPL
2022-04-20,166.065,166.185,163.455,164.558,69030514,AAPL
2022-04-19,162.39,165.139,161.296,164.728,68821196,AAPL
2022-04-18,161.306,163.938,160.962,162.439,70142371,AAPL
2022-04-14,167.9,168.541,162.41,162.656,76549975,AAPL
2022-04-13,164.718,168.314,164.117,167.683,71763198,AAPL
2022-04-12,165.337,167.161,163.988,164.983,80549554,AAPL
2022-04-11,166.015,166.334,162.864,163.109,73417356,AAPL
2022-04-08,169.042,169.042,166.502,167.376,77816299,AAPL
2022-04-07,168.432,170.6,167.142,169.398,78851955,AAPL
2022-04-06,169.613,170.866,167.416,169.092,90501847,AAPL
2022-04-05,174.669,175.457,171.635,172.267,74591152,AAPL
2022-04-04,171.782,175.646,171.654,175.596,77786296,AAPL
2022-04-01,171.25,172.088,169.202,171.527,80027375,AAPL
2022-03-31,175.006,175.193,171.615,171.822,104719045,AAPL
2022-03-30,175.705,176.748,173.88,174.936,94134135,AAPL
2022-03-29,173.87,176.157,173.528,176.107,102219341,AAPL
2022-03-28,169.428,172.927,169.262,172.799,91836258,AAPL
2022-03-25,171.103,172.481,170.001,171.931,81851286,AAPL
2022-03-24,168.334,171.359,167.496,171.29,91591863,AAPL
2022-03-23,165.307,169.891,164.973,167.496,99651633,AAPL
2022-03-22,162.874,166.716,162.284,166.125,82853111,AAPL
